"Code","Title","Mode","Check","Status","Evidence","Fix"
"DWIACE","Death Whispers in a Cat's Ear","gateway","gloss_in_voice","warn","(evaluation failed)",
"DWIACE","Death Whispers in a Cat's Ear","gateway","acronym_after_term","fail","The bare acronym 'GLMZ' is used with an in-line gloss ('Great Lakes Metropolitan Zone — GLMZ on every form') which is fine, but 'E.L.F.' appears multiple times (e.g., 'The E.L.F. is absent from it') with no expansion anywhere in the text, and 'CorpoNation' is used as if self-explanatory without ever being unpacked as an acronym or term for a first-time reader.","Add an in-voice gloss the first time E.L.F. appears, such as 'the Emergent Lattice Fragment—E.L.F. in Arcturus's own shorthand—' before any subsequent bare use of the acronym."
"ICFI","It Came From Iowa","gateway","gloss_in_voice","warn","CorpoNations/Eigenlift towers and neuretics are glossed lightly and in-voice ('too young for the mesh' for neuretics; 'thirty stories each, rising straight out of the corn with no town around them' for Eigenlift towers), but some proprietary terms like 'ArcSec,' 'Zone-12,' 'GLMZ run,' and 'Crown' (for the machine's dome) are used repeatedly with zero orientation, forcing a first-time reader to infer meaning entirely from context over many paragraphs.","Add one brief in-voice touch when 'Zone-12,' 'ArcSec,' or 'Crown' first appears—e.g., have CJ's POV register ArcSec as 'the only badge this corridor had had in a hundred years' (already present) but do similarly for 'Zone-12 boundary' and clarify 'Crown' as the machine's platform the first time Wes climbs onto it."
"ICFI","It Came From Iowa","gateway","acronym_after_term","fail","""South meant deeper into the Zone — the Great Lakes corridor, more buyers, fewer questions"" is offered as gloss for 'the GLMZ run,' but the acronym 'GLMZ' itself appears bare in that same sentence and is never expanded into its literal full term before or after use.","Replace 'the GLMZ run' with something like 'the Great Lakes Multi-Zone run, GLMZ, deeper into the Zone corridor' so the full term precedes the acronym in-voice."
"IxS","Iron & Silk","sequel","lighter_regloss","fail","Proprietary terms like 'Crimson,' 'Tidewell,' 'Helix facilities,' 'Phase 0/Phase 1,' 'the Protocol,' 'the Stems,' and 'Old Harbor' are dropped in with zero re-glossing context — e.g., 'After Crimson the count had stopped running backward' and 'the other two Helix facilities still out there, still someone else's problem' assume the reader already carries full definitions rather than re-teaching them through context.","Fold a brief contextual cue into first uses of key proprietary terms per node (e.g., 'After Crimson — the job that had cost her the two names she still wouldn't say aloud — the count had stopped running backward') so returning readers are gently reminded and newcomers aren't left guessing."
"IxS","Iron & Silk","sequel","acronym_after_term","fail","NGRA appears in Ekow's introduction ('Ekow Ato. Former NGRA. Twelve years independent operations...') with no full-term expansion anywhere before or after; similarly GLMZ recurs repeatedly ('all GLMZ work', 'GLMZ afternoons') without ever being spelled out on the page.","Insert the full term in-voice at first use, e.g. 'Former NGRA — National Guard Reserve Auxiliary, or whatever cover the acronym still carried' and similarly gloss GLMZ ('the Great Lakes Metro Zone, GLMZ to anyone who'd lived here') before its first bare use."
"LLSS","Lieutenant Lyra, Sinterkin Slayer","gateway","gloss_in_voice","warn","Terms like 'the Untamed', 'sinterspawn', 'membrane', 'kin-pack', 'harrower', and 'the Old Watch manuals' are mostly glossed well in-voice (e.g., 'called what began on the far bank the Untamed - plainly, the way you'd name a dog you didn't trust'), but 'CorpoNations'-style proprietary worldbuilding is absent and some terms like 'sinterspawn' and 'membrane-heavy tissue' arrive with technical density ('the membrane has replaced the biology with something it didn't bother to translate cleanly') that reads more like lore-exposition than a Templar's natural voice.","Trim the clinical membrane/biology explanation to a shorter sensory beat consistent with Lyra's practical, embodied POV, and give 'sinterspawn' the same light in-voice anchoring the other terms receive."
"LLSS","Lieutenant Lyra, Sinterkin Slayer","gateway","acronym_after_term","pass","The story contains no acronyms at all (terms like 'kin-pack', 'harrower', 'sinterspawn', and 'membrane' are used as plain nouns, never abbreviated), so the commandment about gating acronyms behind their expansion has nothing to violate.",
"M101","M-101","gateway","gloss_in_voice","warn","Terms like 'CorpoNations' don't appear (good, not forced), but 'Myrmidon,' 'Sphere,' 'yggdra smoke,' and 'Verlaine/Atrament' are dropped in with functional context clues ('the shell,' 'the front') that mostly let a reader infer meaning, except 'Aldenvast' is never glossed at all despite being held up as an emotionally load-bearing proper noun ('He held the name the way he had held the yggdra smoke'), leaving a first-time reader unsure what Aldenvast even refers to.","Add one grounding clause near the first use of Aldenvast (e.g., naming it as the place/world he now suspects he's woken into) so newcomers have the same footing the narrative assumes they already have."
"M101","M-101","gateway","acronym_after_term","fail","The acronym 'M-101' (and later 'M-774', 'M-1018883') appears immediately in dialogue — 'Designation: M-101. Catalog entry: M-1018883' and Declan's correction 'My name... is M-101' — with no full term ever glossed for what 'M' stands for; 'Myrmidon' is later used as if synonymous but the letter-number designation itself is never explained as an abbreviation of anything.","Before or at the first use of 'M-101', have a handler or Declan's own reasoning spell out the full designation term (e.g., 'Myrmidon unit one-oh-one') so the acronym-like catalog code is glossed in-voice prior to its bare use."
"MNEMO","Mnemosync","gateway","gloss_in_voice","fail","Terms like 'CorpoNations,' 'neuretics,' 'Batch 44-C,' 'Zone 5,' 'the Seam,' 'Waxwing overlay,' and 'GLMZ' are dropped in without any in-voice orientation — e.g. 'Second-generation neuretics — you could see it in the old mount scar behind his ear' assumes the reader already knows what neuretics are and does, while 'Waxwing AR glowed along the public edges' and 'the civic AR died in the gap' arrive as bare labels with no grounding gloss for a first-time reader.","Give the earliest uses of core proprietary terms (neuretics, the Seam, Zone numbering, CorpoNations, Waxwing) one clause of sensory or functional context filtered through the POV's own frame of reference, e.g. 'neuretics — the in-skull hardware everyone her age had gotten used to ignoring' — rather than assuming the reader already carries the worldbuilding."
"MNEMO","Mnemosync","gateway","acronym_after_term","fail","Multiple acronyms appear with no expansion anywhere on the page: 'GLMZ' is used repeatedly (e.g., 'Every book could be a reader's first GLMZ book' framing aside, but in-text: 'Public GLMZ health data through Infrastructure Authority portals' and 'the smell before rain on the loading dock at GLMZ') with no full term ever glossed; 'AR' appears as 'no Waxwing overlay either — the civic AR died in the gap' with no expansion of 'augmented reality' or in-voice term given first.","Introduce GLMZ and AR each with an in-voice full-term gloss on their first appearance (e.g., 'the Greater Lakes Metro Zone Authority — GLMZ — health data' and 'the civic augmented-reality overlay, AR, died in the gap') before using the bare acronym thereafter."
"MxG","Magenta & Gunmetal","gateway","gloss_in_voice","warn","Most terms (Reibo flechette pistol, Greymark Unseen, Level IV fabrication suite, Casque & Veil integration layer) get an efficient in-voice gloss, but 'CorpoNations' itself is never actually glossed on first use — it appears only later ('outside CorpoNation jurisdiction') assuming the reader already parses it as a governing bureaucratic entity, and 'Z3/Z5/GLMZ' zone geography is deployed dozens of times before any orienting cue beyond 'the usual Z3 pretension' and 'the real GLMZ' — a phrase that gestures at insider contrast without telling a newcomer what tier or hierarchy these zones represent.","Add one grounding clause early — e.g. when Rook first crosses zone lines — that lets a newcomer infer the Z-numbering is a wealth/security gradient across the GLMZ sprawl, phrased as her own habitual read of a block rather than as narration stepping outside her voice."
"MxG","Magenta & Gunmetal","gateway","acronym_after_term","fail","'GLMZ' appears repeatedly (e.g., 'This was the real GLMZ' and 'every biochemist in the GLMZ') with no in-voice expansion anywhere in the text; similarly 'ISB' is used ('ISB regulatory compliance,' 'the 2218 Infrastructure Safety Mandate') though 'Infrastructure Safety Bureau' is given before it, GLMZ never gets that treatment.","Add an in-voice gloss the first time 'GLMZ' appears, e.g. 'the Greater Lake Metro Zone, GLMZ to anyone who'd lived here more than a week,' before using the bare acronym thereafter."
"NxR","Neon & Rust","sequel","lighter_regloss","warn","Proprietary terms like 'PEREGRINE,' 'the Lake Platform,' 'Wennick,' 'the Loop,' and 'Class V pathway' are dropped in with only glancing context (e.g., 'whether PEREGRINE had gone quiet or only quiet-sounding') that assumes the reader already carries the referent, while other terms like 'Greymark Unseen jacket' or 'ArcSec' get a quick functional gloss ('filed no proximity contact with their readers') that does the re-teaching work well.","Give the recurring proper nouns most load-bearing to backstory (Wennick, the Lake Platform, PEREGRINE's prior incarnation) at least one clause each that re-teaches their meaning through context, the way the Greymark jacket line already does, rather than trusting bare recall."
"NxR","Neon & Rust","sequel","acronym_after_term","fail","Acronyms like 'NSB'-style terms appear bare with no prior full-term gloss: 'GLMZ' is used repeatedly (e.g., 'At that hour the GLMZ was all lit surface') with no expansion ever given, and 'ArcSec' appears ('A pair of ArcSec sat on a cart') with no full term preceding it, as does 'PEREGRINE' functioning like an org/program acronym-style proper noun introduced bare ('whether PEREGRINE had gone quiet').","Insert the full expansion in-voice at first use, e.g. introduce 'the Greater Lakes Metro Zone — the GLMZ' and 'Arcturus Security, ArcSec for short' before the bare acronyms are used again."
"PXL","Pixel","gateway","gloss_in_voice","warn","Terms like 'neuretics' (used immediately for embodied action: 'Her neuretics ran a direct line into the building's maintenance scheduler') and 'Husk' are glossed lightly through function, but 'CorpoNations' and 'Φ' currency and 'GLMZ'/'The Low'/'Seam margin' are dropped in with only partial orientation ('GLMZ — the biggest stretch of gray-zone machinery in the northern hemisphere, ten times Detroit's machine density' is a clean gloss, but 'CorpoNation-adjacent,' 'CorpoNation registry node,' and 'Φ' amounts appear dozens of times with no first-touch anchoring at all, relying on context alone).","Give 'CorpoNations' and the Φ currency one brief in-voice orienting beat at their true first mention (e.g., a passing thought like 'a CorpoNation name — the kind of backing that bought silence from ArcSec' or noting Φ as 'the going gray-zone scrip' when she first counts it) rather than letting readers infer their meaning purely from repeated exposure."
"PXL","Pixel","gateway","acronym_after_term","fail","'GLMZ' is used repeatedly throughout (e.g., 'She'd been planning the move for a year... GLMZ — the biggest stretch of gray-zone machinery in the northern hemisphere') without ever giving its full expanded term; similarly 'ArcSec' appears ('A Scalpel crew didn't live this far outside its own territory... ArcSec didn't keep that quiet') with no expansion at first use, and 'CorpoNation' is treated as a known compound term without explanation.","Introduce GLMZ (and ArcSec) with an in-voice full-term gloss at first mention, e.g., 'the Great Lakes Machine Zone—GLMZ, everyone called it,' before ever using the bare acronym."
"RTR","Read the Room","gateway","gloss_in_voice","warn","Most proprietary nouns (neuretics, CorpoNations-adjacent brand names like Waxwing Neuromedia, Fenris Ballistics, Greymark Unseen, The Low, The Thread) are dropped in via appositive or sensory action without lecturing — e.g. 'his overlay ran empty' and 'the Thread's pods barely moved against the dark, the space elevator holding its long thin line down' gloss geography cleanly in-voice. But some terms land as unglossed drops that assume prior context, like 'the dampeners in his wrists' and 'Rill went inward and the drums came out' for Glass, plus 'Zone 4' and 'Zone-4 Umami' used as if the reader already has the zone map, which risks losing a true first-timer.","Add one small in-voice anchor the first time 'Zone 4' or 'The Low' appears (e.g. a short sensory or status cue showing what living in that zone means) so newcomers get their footing without a lecture."
"RTR","Read the Room","gateway","acronym_after_term","fail","Multiple acronyms/initialisms appear with no in-voice expansion at first use: 'AR layer' ('his overlay ran empty'), 'PA' ('a PA held together by hope'), 'NSB'-style tech term 'The Pulse' is fine as a proper noun but 'CDW submachine gun' is dropped as a bare label with no gloss of what CDW stands for, and 'FB-7' on the Fenris Ballistics Howl is presented as a model code with no expansion.","Introduce each abbreviation the first time in-voice with its full term glossed naturally, e.g. 'a public-address system—a PA—held together by hope' and 'a caseless-defense-weapon carbine, a CDW, slung across his front,' before ever using the bare initials again."
"SPRW","Sparrow","gateway","gloss_in_voice","warn","Terms like 'CorpoNations,' 'Channeler,' and 'GLMZ' get quick in-voice glosses ('the corporate-state paperwork that passes for a building code up here'; 'someone who rents out his own nervous system to an unlicensed AI and lets it drive'), but 'neuretics' is only glossed once, in passing, deep into an already-dense paragraph ('the mesh grown into anyone who can afford the surgery, his own trusted more than paper'), and by the time terms like 'Φ,' 'Attendance incident,' 'Resonance Management Authority,' or 'AAMA filings' appear, they arrive with no gloss at all, assuming the reader already tracks the currency symbol and acronyms.","Add a brief in-voice touch the first time Φ, the Attendance incident, and AAMA are used, so a first-time reader isn't left to infer currency and lore purely from context clues buried in unrelated sentences."
"SPRW","Sparrow","gateway","acronym_after_term","warn","GLMZ (Great Lakes Metropolitan Zone's Orbital Debris Registry) and ArcSec ('Arcturus's security arm') are properly glossed at first use, but AAMA appears bare — 'in three AAMA filings she could pull herself' — with no prior expansion anywhere in the text.","Expand AAMA at its first appearance, e.g. 'the Anomalous Activity Management Authority — AAMA — filings she could pull herself.'"
"SRZR","Steppin' Razor","gateway","gloss_in_voice","warn","Several proprietary terms get a clean in-voice gloss ('Neuretics: the mesh grown into your skull before you turn ten, meant to seal at twelve and go quiet for life') but others land as unglossed density spikes — 'TESSERA was the Consensus civic net' is a clean aside, while 'Consensus instruments logged the whole field as dead-well cold-reads' and terms like 'GLMZ ground,' 'Waxwing Neuromedia civic skins,' 'Halcyon Combine, Strategic Resources,' and 'the Thread's pods' arrive with no orientation at all, assuming the reader already knows the geography and faction map.","Give each newly introduced proper noun (TESSERA, Consensus, Halcyon, the Thread, GLMZ) the same one-clause in-voice touch the neuretics and Pulse hub get, so a first-time reader isn't left inferring faction/geography meaning purely from context accumulation."
"SRZR","Steppin' Razor","gateway","acronym_after_term","fail","'TESSERA was the Consensus civic net' is glossed properly, but numerous acronyms appear bare with no prior expansion at all: 'GLMZ' is used ('the first GLMZ ground she'd touched') with no expansion anywhere on the page, and 'MO-556' and 'GG-9' are given as if the reader already knows the naming convention, while 'Halcyon Combine, Strategic Resources' introduces 'OBERON' as a bare name with no expansion since it's presented as a proper name, not flagged as an acronym.","Add an in-voice gloss the first time GLMZ appears (e.g., 'Any book could be a reader's first Gray-zone Liminal Metro Zone—GLMZ—book' rephrased into Sasha's narration) and similarly expand MO-556/GG-9 on first mention if they are meant to be read as acronyms rather than model numbers."
"TEST","Testament","gateway","gloss_in_voice","fail","Terms like 'Strix Harvest Frame,' 'neuretics,' 'CorpoNations,' 'Halcyon,' 'the Spine,' and 'perifoot' are dropped in without any in-voice orientation ('He ran the Manowar status through his neuretics, the read coming up clean' assumes the reader already knows what neuretics and Manowar authorization mean), while other terms like 'Manowar' and 'turret cat' later get small explanatory asides that read as inconsistent gloss placement rather than a deliberate technique.","Give each proprietary term (neuretics, the Harvest Frame/Manowar naming inconsistency, CorpoNations, the Spine) one brief sensory or functional clause at first mention, in Bear's own rhythm, the way 'turret cat' is later explained through the cat's servo-smooth head swivel, and resolve whether the frame is called Strix Harvest Frame or Manowar so a first-time reader isn't left assuming two separate devices."
"TEST","Testament","gateway","acronym_after_term","fail","'NS-7' appears repeatedly (e.g., 'the NS-7 had been compensating for thirty-seven minutes') with only a vague relative clause about a relay implant, never a clear in-voice full-term expansion; similarly 'IRB' is used ('the IRB panel date') before any gloss, and 'ArcSec' appears bare with no expansion at all.","Introduce each acronym once with its full name glossed in-voice at first use—e.g., 'the Neural Stabilization relay, the NS-7, that kept his brainstem firing'; 'the Internal Review Board—the IRB—panel date'; and give ArcSec a full-term first mention before using the bare acronym."
"TLC","The Long Cut","gateway","gloss_in_voice","warn","Early proprietary terms are glossed cleanly in-voice ('NREN relay — a person-to-person package network, no corpo registry'; 'the Low — the ungoverned band'), but by mid-node dense worldbuilding nouns (Scalpel Division, NCID, Cascade suppressor, GLMZ, Thread's pods, Emergency Provision 7) arrive with thinner or no orientation, e.g. 'the Cascade suppressor rides on his right hip' is explained only via a technical aside about neural mesh rather than a natural first-touch gloss, and 'the Thread's pods hang low' gets zero context at all.","Give each newly introduced proprietary noun (Scalpel, GLMZ, the Thread) the same one-clause in-voice orientation the early terms get, so a first-time reader isn't left to infer institutional stakes from context alone in the second half."
"TLC","The Long Cut","gateway","acronym_after_term","fail","NREN is used with an immediate gloss ('the NREN relay — a person-to-person package network, no corpo registry') which is fine, but NCID appears first as 'the NCID doesn't take interest below thirty-five' before its expansion 'Halcyon's Neuretic Crime Investigation Division' arrives in the very same sentence only as a trailing clause, and GLMZ is used repeatedly ('the GLMZ medical licensing board', 'GLMZ Wartime Medical Authority', 'Any book could be a reader's first GLMZ book' per the rule) with no full-term expansion anywhere on the page.","Add an in-voice gloss for GLMZ at its first use (e.g., 'the Greater Lake Michigan Zone's medical licensing board') and restructure the NCID sentence so the full name precedes the acronym rather than trailing it."
"TRUCE","Three Day Truce","gateway","gloss_in_voice","warn","Terms like 'CorpoNations,' 'neuretics,' 'Catalyst infusion,' and the Sinter/Rhine geography are mostly absorbed into action without a beat of orientation (e.g., 'Sinter office... Recalculates the surcharge every fair-week' is glossed well through the clerk's dialogue), but later terms like 'Heloth courier-construct,' 'ichor-proof plate,' and 'analog' as an insult are dropped in with only partial context, assuming the reader already tracks what a construct or the Catalyst program is.","Add a half-beat of in-voice sensory or functional detail the first time 'Heloth construct' and 'Catalyst infusion/program' appear (as was done well for the toll and surcharge system) so a first-time reader can place them without inferring from later exposition."
"TRUCE","Three Day Truce","gateway","acronym_after_term","fail","Multiple acronyms and proper nouns treated as established jargon appear without any in-voice expansion: 'NSB'-style terms aren't present, but functional equivalents like 'House Champion round,' 'Sinter office,' 'Catalyst infusion,' and especially unexplained world-terms like 'Sinterkin' and 'Sinter approach' are used as if the reader already knows the underlying system; more critically, no acronym literally appears, but the rule's spirit—never assume prior familiarity—is violated by terms like 'Catalyst' and 'Sinter' being dropped as proper nouns with capitalized specificity and no definition given anywhere in the excerpt.","Introduce any specialized capitalized system-term (e.g., 'Catalyst infusion,' 'Sinter,' 'Sinterkin') with a brief in-voice gloss the first time it appears, the same way the rule demands for acronyms, so a first-time reader isn't left inferring meaning from context alone."
"TWD","The Way Down","sequel","lighter_regloss","warn","(evaluation failed)",
"TWD","The Way Down","sequel","acronym_after_term","fail","Multiple acronyms appear without any in-voice expansion before their bare use: 'UBC' is mentioned as 'Universal Basic Credit' but only parenthetically after the term already reads like an aside rather than a clean gloss ('drinking coffee that cost more than his monthly UBC — the Universal Basic Credit that used to be the whole of his money'), which inverts the required order (acronym first, then gloss), and 'NSB'-style terms like 'Φ' (used repeatedly as a bare symbol/unit with no expansion anywhere) and 'Tier 1 rig' are never expanded at all.","Reorder each instance so the full term appears first in-voice (e.g., 'his monthly Universal Basic Credit, the UBC that used to be the whole of his money') and add an in-voice expansion for Φ and any other unexplained abbreviation at its first appearance."
"TWU","The Way Up","gateway","gloss_in_voice","warn","Most terms land well in-voice ('civic neuretics everybody got seeded with,' 'the Thread... anchored somewhere near Crestwood, climbing until it stopped being visible'), but some proprietary nouns arrive with zero gloss and rely on context alone — 'CorpoNations' never appears at all, and terms like 'Axiom logistics,' 'Lotus-adjacent contract,' 'Helix-grade,' and 'Ashgrave perimeter' are dropped as pure brand-texture with no orienting cue for a first-time reader to anchor scale or stakes.","Add a half-clause of sensory or functional context on first use of the corporate/geographic proper nouns (e.g., 'an Axiom logistics courier — one of the big orbital shippers' or a physical detail that signals Ashgrave's function) so newcomers can place them without breaking the in-voice flow."
"TWU","The Way Up","gateway","acronym_after_term","fail","Multiple acronyms appear with no expansion at all: 'Cermak Tier-2 consult' and 'the basic mesh', 'Helix-grade' haptic array, and most notably 'NSB'-style world jargon isn't used, but GLMZ-type acronyms like tech terms are absent of gloss — e.g., there are no acronyms like 'NSB' here, but the story does use unexplained shorthand terms without any acronym-expansion pattern at all (e.g., no acronyms are ever glossed in-voice before use, since none appear in strict acronym form, but comparable jargon like 'Tier-1 mesh,' 'Tier-2 consult,' and 'Helix-grade' are dropped as if pre-established).","If any acronym is intended to appear in this story, introduce it once with a natural in-voice gloss of the full term (e.g., 'the Cermak Tier-2 neural consult' before shortening it), and audit all technical shorthand for the same treatment."
"UNDR","Underclan","gateway","gloss_in_voice","fail","Terms like 'CorpoNations,' 'Exclusion Economy,' 'Downward Expansion,' 'the Mission,' 'Channeler,' and 'covenant' are dropped in with the assumption of stranger-orientation but several arrive as clustered lecture rather than in-voice gloss — e.g. Vesh's line 'Before the sealing-off, when the deep still had a door to the surface's markets. Before the Exclusion Economy shut that door and called the shutting a law. Before the Downward Expansion drove the ones it shut out into the Works' stacks three proprietary-history terms back to back in a single breath of dialogue, functioning as compressed worldbuilding exposition rather than a natural Listener's aside.","Break Vesh's history-recitation into smaller, separately-earned beats spread across the scene (each gloss triggered by something in the room or a Brave's question) rather than delivering the Exclusion Economy and Downward Expansion as a rapid-fire, unbroken litany."
"UNDR","Underclan","gateway","acronym_after_term","fail","The acronym GLMZ is not present, but other acronyms/initialisms appear bare and unglossed at first use, e.g. the surface entity introduced only as 'the Mission' with no expansion, and 'the One Word'/'the Second Word' treated as established terms rather than glossed abbreviations — more clearly, no acronym in the text (such terms as they exist) is ever preceded by a spelled-out full term rendered in-voice before its short form is used.","Introduce each institutional shorthand (e.g., 'the Mission') the first time it appears with an in-voice gloss of the full term it stands for before using the short form again."
"VATD","Vultures at the Door","gateway","gloss_in_voice","fail","Terms like 'neuretics,' 'CorpoNations'-adjacent structures (Carrion, Lotus Syndicate, GLMZ), 'the Rift,' 'Resonance Zone geometry,' and 'Waxwing Neuromedia civic skin' are frequently introduced with either zero context (e.g. 'The manifest came up on his neuretics' with no orientation to what neuretics are beyond inference) or with an explicit stop-and-explain clause that reads as authorial aside rather than voice, e.g. 'Waxwing Neuromedia — the ad-overlay grid that painted storefronts with whatever a strip could afford to want' and 'the GLMZ — the sprawl everyone just called the zone.'","Replace the appositive-definition pattern ('X — the Y that did Z') with details Tomas would naturally notice and think in the middle of action, letting terms like neuretics, GLMZ, and the Rift accrue meaning through use rather than through inserted glosses."
"VATD","Vultures at the Door","gateway","acronym_after_term","fail","The acronym GLMZ appears repeatedly throughout the story (e.g., 'the same shape as the GLMZ,' 'the GLMZ had buyers,' 'in this city, the GLMZ') with only a vague apposition 'the sprawl everyone just called the zone' at first use, which is a nickname, not the full expansion of the letters G-L-M-Z; no in-voice gloss of what the acronym actually stands for is ever given.","At first use, have a character or narration spell out the full term the letters GLMZ actually abbreviate (e.g., 'the Greater Lakes Metro Zone, GLMZ, the sprawl everyone just called the zone') before using the bare acronym again."
"VIGL","Vigil's End","gateway","gloss_in_voice","warn","Terms like 'CorpoNations' don't appear, but proprietary nouns like 'Oculus Lacrimans Vigilantiae,' 'Orbis Omnividens,' 'Descent,' 'the Quiet Mass,' and 'Heloth couriers' are frequently introduced with dense parenthetical lore-dumps ('Seven hundred and forty-one years of unbroken sight...the founding documents were plain about that much') rather than the light in-voice touch the rule asks for; some terms (Heloth, fold, Catalyst) do get graceful in-scene glosses ('the trick of stepping clean through a membrane') that model the technique well elsewhere.","Trim the extended genealogical exposition on the Oculus/Orbis and the Order's history into shorter, POV-filtered fragments woven into action rather than standalone explanatory paragraphs."
"VIGL","Vigil's End","gateway","acronym_after_term","fail","'AoV' appears bare in '(59 AoV)' with no prior or subsequent gloss anywhere in the text expanding what it stands for (e.g. 'Age of Vigil' or similar), leaving first-time readers with an unexplained acronym.","Precede the first use of AoV with an in-voice gloss of its full term, e.g. 'fifty-nine years After the Vigil (59 AoV)', before using the bare acronym."
